true_effect,mode,error_dist,quantile,specification,mean_beta,sd_beta,mean_se,mean_ci_length,coverage_rate,rejection_rate_5pct,mean_poly_p_value,mean_first_stage_F,replications
null,independent,normal,10,corrected,-0.013777275942481288,0.01125378991667763,0.03037636908040926,0.1190753667952043,1.0,0.0,6.078177890056491e-06,9.124159447964134,2
null,independent,normal,10,uncorrected,0.06134977393605,0.018846499477842,0.0425656234241868,0.16685724382281225,0.5,0.5,,19.28976463882723,2
null,independent,normal,20,corrected,-0.006268632608912942,0.03271976234491234,0.049898452355822104,0.19560193323482264,1.0,0.0,6.627027791072937e-05,9.124159447964134,2
null,independent,normal,20,uncorrected,0.0474998361193925,0.014800042187058311,0.03570362284443286,0.13995820155017683,1.0,0.0,,19.28976463882723,2
null,independent,normal,30,corrected,-0.046479019532243974,0.019107404832026307,0.037192716522114075,0.14579544876668715,0.5,0.5,2.7649802299467563e-05,9.124159447964134,2
null,independent,normal,30,uncorrected,0.023009172542068267,0.017374296703150154,0.03308094844734112,0.12967731791357717,1.0,0.0,,19.28976463882723,2
null,independent,normal,40,corrected,-0.03042984603439914,0.01866028474099191,0.030071170394001444,0.11787898794448567,0.5,0.5,3.3009385058679896e-08,9.124159447964134,2
null,independent,normal,40,uncorrected,0.035499710501413734,0.035822711393106964,0.02487755578341118,0.09752001867097182,0.5,0.5,,19.28976463882723,2
null,independent,normal,50,corrected,-0.04895692076732956,0.01679257107068374,0.027169459731676247,0.10650428214817088,0.5,0.5,0.0228308302689314,9.124159447964134,2
null,independent,normal,50,uncorrected,-0.010184907418591,0.005693207433145251,0.019249915061456006,0.07545966704090755,1.0,0.0,,19.28976463882723,2
null,independent,normal,60,corrected,-0.03851024172904126,0.004793808416494245,0.03170924589119239,0.12430024389347416,1.0,0.0,0.0005778759625352237,9.124159447964134,2
null,independent,normal,60,uncorrected,-0.0065397704630530944,0.012442910860228966,0.017365282184142565,0.06807190616183885,1.0,0.0,,19.28976463882723,2
null,independent,normal,70,corrected,-0.04082512628547791,0.01415523231126111,0.03992360042197232,0.1565005136541315,1.0,0.0,0.09526544646462587,9.124159447964134,2
null,independent,normal,70,uncorrected,0.016652889536327254,0.02015065881974132,0.049274313071193176,0.19315530723907726,1.0,0.0,,19.28976463882723,2
null,independent,normal,80,corrected,-0.04030716885116498,0.06929935233096532,0.056084863086519665,0.2198526632991571,1.0,0.0,0.0016308327870935835,9.124159447964134,2
null,independent,normal,80,uncorrected,0.019535278006845697,0.0023459420049659592,0.05563679621221198,0.21809624115187096,1.0,0.0,,19.28976463882723,2
null,independent,normal,90,corrected,-0.017799722427412824,0.04332218565663865,0.07745935091698836,0.3036406555945944,1.0,0.0,1.099298430062845e-11,9.124159447964134,2
null,independent,normal,90,uncorrected,0.017681835635192884,0.0013072472437802899,0.07174908364516985,0.2812564078890658,1.0,0.0,,19.28976463882723,2
