year,inv_mu_m,sectors,total_dom_sales,mu_m,counterfactual_label,scenario
2011,0.8416431961037533,102,51218153472.0,1.1881519444692634,output-competition counterfactuals,observed
2012,0.8008235704977175,103,46905323520.0,1.2487144944778448,output-competition counterfactuals,observed
2013,0.8574788953366516,102,37511196672.0,1.1662094605924893,output-competition counterfactuals,observed
2014,0.8531868518474961,105,41932840960.0,1.172076196245399,output-competition counterfactuals,observed
2015,0.8503779164113539,103,36720705536.0,1.1759477529944102,output-competition counterfactuals,observed
2016,0.8489818468832578,106,34867478528.0,1.177881486713942,output-competition counterfactuals,observed
2017,0.8397546888966543,107,32637360128.0,1.1908239551646809,output-competition counterfactuals,observed
2018,0.809651393627423,107,22308124672.0,1.2350994611641088,output-competition counterfactuals,observed
2019,0.8233919871161928,107,19269345280.0,1.2144883793469383,output-competition counterfactuals,observed
2011,0.841643171014392,102,51218155142.0,1.1881519798880422,output-competition counterfactuals,no_output
2012,0.8007941430543105,103,46886698691.42203,1.2487603820201507,output-competition counterfactuals,no_output
2013,0.8472843176415013,102,37569878172.87549,1.1802413654764645,output-competition counterfactuals,no_output
2014,0.8505103685715147,105,41955675171.58141,1.1757646196360456,output-competition counterfactuals,no_output
2015,0.8466549554373829,103,36741903944.96572,1.1811186996282315,output-competition counterfactuals,no_output
2016,0.8523093734641775,106,34842240727.6246,1.1732828842836023,output-competition counterfactuals,no_output
2017,0.8424884396344917,107,32614724515.697414,1.1869599070508834,output-competition counterfactuals,no_output
2018,0.8110768136318606,107,22301976745.526432,1.2329288461868049,output-competition counterfactuals,no_output
2019,0.8224223846274585,107,19269897824.628643,1.2159202116719874,output-competition counterfactuals,no_output
