parameter,value,status
output_scale,3.449365682581648,estimated
output_markup,-0.6737101465071335,estimated
high_markup_output,-1.5144990718471525,estimated
concentration_output,-3.964039485950944,estimated
share_output,0.5001120797536759,estimated
share_input,0.0,fixed
input_markup,0.0,fixed
mean_reversion,1.381512929124753,estimated
drift,-0.10360925007803605,estimated
exit_intercept,-2.3,fixed
exit_ip,0.0,fixed
exit_markup,0.0,fixed
eta,1.01,fixed_elasticity
nu,4.0,fixed_elasticity
rho,8.0,fixed_elasticity
lambda_min,0.05,fixed_elasticity
lambda_max,0.98,fixed_elasticity
default_lambda,0.85,fixed_elasticity
