year,dom_total,inv_mu_agg_BU_firm,mu_agg_BU_firm,ln_mu_agg_BU_firm,mu_agg_DLEU,ln_mu_agg_DLEU,d_inv_mu_agg_BU,d_ln_mu_agg_BU,d_mu_agg_DLEU,d_ln_mu_agg_DLEU,gap_level_BU_DLEU,gap_log_BU_DLEU,inv_mu_agg_BU_sector,mu_agg_BU_sector,ln_mu_agg_BU_sector,check_BU_level,check_BU_log
2009,34904789517.3689,.822159448605835,1.216309076901975,.1958209263308223,1.256272751879929,.228149203610445,,,,,-.0399636749779542,-.0323282772796226,.822159448605833,1.216309076901978,.1958209263308247,-2.88657986403e-15,-2.38697950294e-15
2010,48994087580.95415,.8167384919086046,1.224382112398228,.2024363187029426,1.275417109175397,.2432732695616032,-.0054209566972304,.0066153923721203,.0191443572954679,.0151240659511582,-.0510349967771695,-.0408369508586606,.8167384919086058,1.224382112398226,.202436318702941,1.99840144433e-15,1.63757896132e-15
2011,52720547971.2946,.8075168418572432,1.238364264576893,.2137913673136697,1.685820976468396,.5222526715388266,-.0092216500513614,.011355048610727,.4104038672929986,.2789794019772234,-.4474567118915029,-.3084613042251569,.8075168418572412,1.238364264576896,.2137913673136722,-3.10862446895e-15,-2.49800180541e-15
2012,48138250426.83725,.8270034071215864,1.209184861136829,.1899464641101169,1.254150154232526,.2264581752597663,.0194865652643432,-.0238449032035527,-.4316708222358703,-.2957944962790603,-.0449652930956963,-.0365117111496494,.827003407121586,1.20918486113683,.1899464641101173,-4.44089209850e-16,-3.88578058619e-16
2013,38495355544.19742,.8268882058725767,1.209353323578665,.1900857734194946,1.249476581746364,.222724729017486,-.0001152012490097,.0001393093093777,-.0046735724861615,-.0037334462422804,-.0401232581676991,-.0326389555979914,.8268882058725731,1.20935332357867,.1900857734194992,-5.55111512313e-15,-4.57966997658e-15
2014,43193072503.97827,.8331154432645008,1.200313843759245,.1825830590652925,1.233265634224178,.209665638305908,.0062272373919241,-.0075027143542021,-.0162109475221863,-.013059090711578,-.0329517904649328,-.0270825792406156,.8331154432645007,1.200313843759245,.1825830590652925,0,0
2015,37598970672.26463,.8221056316476288,1.216388699340063,.1958863865280517,1.247185750453583,.2208896134665136,-.011009811616872,.0133033274627593,.0139201162294058,.0112239751606056,-.0307970511135207,-.0250032269384619,.8221056316476261,1.216388699340067,.1958863865280552,-4.21884749358e-15,-3.46944695195e-15
2016,35308734262.97771,.8194290520980893,1.220361906182813,.199147459167053,1.247003494461027,.2207434689883012,-.0026765795495396,.0032610726390013,-.0001822559925562,-.0001461444782124,-.0266415882782141,-.0215960098212482,.8194290520980905,1.220361906182811,.1991474591670515,1.77635683940e-15,1.47104550763e-15
2017,33110351575.41279,.8189613060132779,1.221058910424013,.1997184416502,1.251439154288409,.2242942124803875,-.0004677460848114,.000570982483147,.0044356598273816,.0035507434920863,-.0303802438643956,-.0245757708301875,.8189613060132779,1.221058910424013,.1997184416502,0,0
2018,22593021692.82323,.8165243704335582,1.224703188551518,.202698519578515,1.261394119566991,.2322175534060342,-.0024369355797197,.002980077928315,.0099549652785818,.0079233409256467,-.0366909310154722,-.0295190338275192,.816524370433556,1.224703188551522,.2026985195785178,-3.33066907388e-15,-2.72004641033e-15
2019,19451951218.6379,.829873862840536,1.205002404313768,.186481562221763,1.242393290006612,.2170395920059885,.0133494924069778,-.0162169573567521,-.0190008295603783,-.0151779614000458,-.0373908856928444,-.0305580297842255,.8298738628405369,1.205002404313767,.186481562221762,1.11022302463e-15,9.15933995316e-16
2020,15269459372.46808,.8178938236675327,1.22265258773551,.20102275072157,1.27465077855047,.2426722419170572,-.0119800391730033,.0145411884998071,.0322574885438573,.0256326499110687,-.0519981908149594,-.0416494911954871,.8178938236675347,1.222652587735507,.2010227507215675,3.10862446895e-15,2.52575738102e-15
2021,9779432450.833599,.8199943116880102,1.219520654895077,.1984578757137404,1.272126563465349,.2406899595478526,.0021004880204775,-.0025648750078296,-.0025242150851206,-.0019822823692046,-.0526059085702721,-.0422320838341121,.8199943116880077,1.219520654895081,.1984578757137433,-3.55271367880e-15,-2.88657986403e-15
2022,6006623720.474208,.8171278491190033,1.223798700629482,.2019597102950305,1.281890532983972,.2483359671647325,-.0028664625690069,.0035018345812901,.0097639695186225,.0076460076168799,-.0580918323544892,-.046376256869702,.8171278491190033,1.223798700629482,.2019597102950305,0,0
2023,291717318.550293,.8777619277011413,1.139261078022603,.1303798750756068,1.153332766773998,.1426558091649843,.060634078582138,-.0715798352194237,-.1285577662099739,-.1056801579997481,-.014071688751395,-.0122759340893775,.8777619277011415,1.139261078022602,.1303798750756066,2.22044604925e-16,1.94289029309e-16
