year,inv_mu_M,mu_M,ln_mu_M,d_inv_mu_M,d_ln_mu_M,c_mfg_decomp_sum,c_mfg_total_invmu,mfg_identity_gap,mfg_total_gap,c_BF_AE_mu,c_mfg_within_firm,c_mfg_between_firm,c_mfg_entry,c_mfg_exit,c_mfg_between_sector,dom_M
2009,.8127624998933359,1.230371726219205,.2073163401645151,,,0,0,,,0,0,0,0,0,0,34904789517.3689
2010,.8125128630104157,1.230749746280855,.2076235335061251,-.0002496368829202,.0003071933416099,-.0119400829457198,-.0119400829457197,.0116904460627995,.0116904460627995,.0100845819990257,.0002053685313732,-.0635616060194646,.1483008466947031,-.0822666809197917,-.0146180112325397,48994087580.95415
2011,.7957488835954395,1.256677854804761,.2284716157798389,-.0167639794149762,.0208480822737139,-.0167919889584658,-.0167919889584657,.0000280095434896,.0000280095434895,-.1615033404496395,34.78280428825924,-34.78664284112931,.1017775996806114,-.136830071796158,.0220990360271142,52720547971.2946
2012,.8230434608768082,1.215002666972988,.1947462718295989,.0272945772813687,-.0337253439502401,.0272503031784932,.0272503031784932,.0000442741028755,.0000442741028755,.0502937091127454,.0096694470780624,.0507519230117395,.0924057227986304,-.121984590097655,-.003592199612284,48138250426.83725
2013,.8204841007790834,1.218792660394588,.1978607461180024,-.0025593600977248,.0031144742884035,-.0025380317009961,-.0025380317009962,-.0000213283967287,-.0000213283967286,-.0103643870410934,-.0089735404133369,.0564253912870304,.1078777764830339,-.1631776823868977,.0053100233291741,38495355544.19742
2014,.8274373802738019,1.208550669621786,.1894218479794279,.0069532794947185,-.0084388981385745,.0069496142478258,.0069496142478259,3.66524689265e-06,3.66524689258e-06,.0104577481996755,.0014606830249707,.0075885331754406,.1241213546228447,-.1231179178752735,-.0031030387001566,43193072503.97827
2015,.7305283574578674,1.368872254979745,.3139872293006585,-.0969090228159345,.1245653813212307,-.0969692471625107,-.0969692471625107,.0000602243465762,.0000602243465762,-.140480268824105,-.007589096853086,-.0245127194911338,.0605193656678677,-.1232505312590941,-.0021362652270647,37598970672.26463
2016,.71100448297842,1.406460892920068,.3410765440251872,-.0195238744794474,.0270893147245286,-.019439080382173,-.019439080382173,-.0000847940972744,-.0000847940972744,-.0344729726051705,-.0074077206809891,-.0052452644514227,.0811691814978439,-.090940003133788,.0029847263861829,35308734262.97771
2017,.6964436494116977,1.435866348763067,.3617683944025606,-.0145608335667223,.0206918503773735,-.0146164572806864,-.0146164572806864,.000055623713964,.0000556237139641,-.0303259420166687,-.0012862592848695,-.0316740592519601,.116813084699077,-.0923041114320847,-.0061651120108491,33110351575.41279
2018,.6855391816725854,1.458705828542418,.377549623812213,-.0109044677391122,.0157812294096523,-.0108344612645982,-.0108344612645982,-.0000700064745141,-.0000700064745141,-.0384031726766749,-.0040675581576585,.0456434204311939,.0757868486966482,-.1292359396408632,.0010387674060814,22593021692.82323
2019,.708845050759099,1.410745548592184,.3441183225136916,.0233058690865136,-.0334313012985213,.0233058690865142,.0233058690865142,-6.45317133063e-16,-6.24500451352e-16,.0298498681971895,.0141675868669931,.0024156174658034,.0807756568761811,-.0707392612028523,-.003313730919611,19451951218.6379
2020,.6914015408144923,1.446337534657457,.3690345229542955,-.0174435099446066,.0249162004406038,-.0175905619874993,-.0175905619874994,.0001470520428927,.0001470520428927,-.0331824290169102,-.009392171015934,.0174141241808736,.0533848388682885,-.077255664474524,-.0017416895462035,15269459372.46808
2021,.6948166726812274,1.439228561026178,.3641072485282721,.003415131866735,-.0049272744260234,.0034294961548102,.0034294961548103,-.0000143642880752,-.0000143642880752,-.0286615868639471,-.0063591642292981,.0419415718276501,.0524537841093377,-.0933854964377182,.0087788008848387,9779432450.833601
2022,.6698078886456397,1.492965396424359,.4007643410777132,-.0250087840355877,.0366570925494411,-.0241897916109445,-.0241897916109446,-.0008189924246432,-.0008189924246431,-.0531482843687464,-.0035994104936409,.1153505235907805,.0135995025723759,-.1567295697074087,.0071891624269487,6006623720.474208
2023,.8513816659500248,1.174561351264403,.1608947598227348,.1815737773043852,-.2398695812549784,.4924576241007381,.4924576241007383,-.3108838467963529,-.3108838467963531,-.0162049715417582,.013647529126507,.4380138167657118,.0253173461688401,-.4001403841724606,.4156193162121399,291717318.550293
