beta_IP,se_IP,N,R2,percentile,ci_lo,ci_hi
.1537252053919714,.4286351948446682,609,.0199542005988097,10,-.68639976,.99385017
-.0037773093237119,.2174197245558793,609,.0245878973779131,20,-.42991996,.42236534
-.0290105819510321,.1600952816250213,609,.0449077358236262,30,-.34279734,.28477618
-.1581201028984323,.1541022195842021,609,.0408617012007332,40,-.46016046,.14392024
-.1953592711558269,.1410392954636823,609,.0299574470837344,50,-.4717963,.081077747
-.2189147455946817,.1466348724477196,609,.0211196007956163,60,-.50631911,.068489604
-.1077050137599921,.148443065051545,609,.070412987307919,70,-.39865342,.18324339
-.8479647692988862,.3130903331925105,609,.0315436084764675,80,-1.4616219,-.23430772
-1.585352878528746,.5502404711174729,609,-.1011004974386733,90,-2.6638243,-.50688154
